"Region Name","Country Name","suicides","Sex","Year","AgeGroup"
"Central and South America","Uruguay",0,"Female",1955,"0-9 years"
"Central and South America","Uruguay",0,"Female",1955,"0-9 years"
"Central and South America","Uruguay",0,"Female",1955,"0-9 years"
"Central and South America","Uruguay",0,"Male",1955,"0-9 years"
"Central and South America","Uruguay",0,"Male",1955,"0-9 years"
"Central and South America","Uruguay",0,"Male",1955,"0-9 years"
"Central and South America","Uruguay",0,"Female",1956,"0-9 years"
"Central and South America","Uruguay",0,"Female",1956,"0-9 years"
"Central and South America","Uruguay",0,"Female",1956,"0-9 years"
"Central and South America","Uruguay",0,"Male",1956,"0-9 years"
"Central and South America","Uruguay",0,"Male",1956,"0-9 years"
"Central and South America","Uruguay",2,"Male",1956,"0-9 years"
"Central and South America","Uruguay",0,"Female",1957,"0-9 years"
"Central and South America","Uruguay",0,"Female",1957,"0-9 years"
"Central and South America","Uruguay",0,"Female",1957,"0-9 years"
"Central and South America","Uruguay",0,"Male",1957,"0-9 years"
"Central and South America","Uruguay",0,"Male",1957,"0-9 years"
"Central and South America","Uruguay",0,"Male",1957,"0-9 years"
"Central and South America","Uruguay",0,"Female",1958,"0-9 years"
"Central and South America","Uruguay",0,"Female",1958,"0-9 years"
"Central and South America","Uruguay",0,"Female",1958,"0-9 years"
"Central and South America","Uruguay",0,"Male",1958,"0-9 years"
"Central and South America","Uruguay",0,"Male",1958,"0-9 years"
"Central and South America","Uruguay",0,"Male",1958,"0-9 years"
"Central and South America","Uruguay",0,"Female",1959,"0-9 years"
"Central and South America","Uruguay",0,"Female",1959,"0-9 years"
"Central and South America","Uruguay",0,"Female",1959,"0-9 years"
"Central and South America","Uruguay",0,"Male",1959,"0-9 years"
"Central and South America","Uruguay",0,"Male",1959,"0-9 years"
"Central and South America","Uruguay",0,"Male",1959,"0-9 years"
"Central and South America","Uruguay",0,"Female",1960,"0-9 years"
"Central and South America","Uruguay",0,"Female",1960,"0-9 years"
"Central and South America","Uruguay",0,"Female",1960,"0-9 years"
"Central and South America","Uruguay",0,"Male",1960,"0-9 years"
"Central and South America","Uruguay",0,"Male",1960,"0-9 years"
"Central and South America","Uruguay",0,"Male",1960,"0-9 years"
"Central and South America","Uruguay",0,"Female",1963,"0-9 years"
"Central and South America","Uruguay",0,"Female",1963,"0-9 years"
"Central and South America","Uruguay",0,"Female",1963,"0-9 years"
"Central and South America","Uruguay",0,"Male",1963,"0-9 years"
"Central and South America","Uruguay",0,"Male",1963,"0-9 years"
"Central and South America","Uruguay",0,"Male",1963,"0-9 years"
"Central and South America","Uruguay",0,"Female",1964,"0-9 years"
"Central and South America","Uruguay",0,"Female",1964,"0-9 years"
"Central and South America","Uruguay",0,"Female",1964,"0-9 years"
"Central and South America","Uruguay",0,"Male",1964,"0-9 years"
"Central and South America","Uruguay",0,"Male",1964,"0-9 years"
"Central and South America","Uruguay",0,"Male",1964,"0-9 years"
"Central and South America","Uruguay",0,"Female",1965,"0-9 years"
"Central and South America","Uruguay",0,"Female",1965,"0-9 years"
"Central and South America","Uruguay",0,"Female",1965,"0-9 years"
"Central and South America","Uruguay",0,"Male",1965,"0-9 years"
"Central and South America","Uruguay",0,"Male",1965,"0-9 years"
"Central and South America","Uruguay",0,"Male",1965,"0-9 years"
"Central and South America","Uruguay",0,"Female",1966,"0-9 years"
"Central and South America","Uruguay",0,"Female",1966,"0-9 years"
"Central and South America","Uruguay",0,"Female",1966,"0-9 years"
"Central and South America","Uruguay",0,"Male",1966,"0-9 years"
"Central and South America","Uruguay",0,"Male",1966,"0-9 years"
"Central and South America","Uruguay",0,"Male",1966,"0-9 years"
"Central and South America","Uruguay",0,"Female",1967,"0-9 years"
"Central and South America","Uruguay",0,"Female",1967,"0-9 years"
"Central and South America","Uruguay",0,"Female",1967,"0-9 years"
"Central and South America","Uruguay",0,"Male",1967,"0-9 years"
"Central and South America","Uruguay",0,"Male",1967,"0-9 years"
"Central and South America","Uruguay",0,"Male",1967,"0-9 years"
"Central and South America","Uruguay",0,"Female",1968,"0-9 years"
"Central and South America","Uruguay",0,"Female",1968,"0-9 years"
"Central and South America","Uruguay",0,"Female",1968,"0-9 years"
"Central and South America","Uruguay",0,"Male",1968,"0-9 years"
"Central and South America","Uruguay",0,"Male",1968,"0-9 years"
"Central and South America","Uruguay",0,"Male",1968,"0-9 years"
"Central and South America","Uruguay",0,"Female",1969,"0-9 years"
"Central and South America","Uruguay",0,"Female",1969,"0-9 years"
"Central and South America","Uruguay",0,"Female",1969,"0-9 years"
"Central and South America","Uruguay",0,"Male",1969,"0-9 years"
"Central and South America","Uruguay",0,"Male",1969,"0-9 years"
"Central and South America","Uruguay",0,"Male",1969,"0-9 years"
"Central and South America","Uruguay",0,"Female",1970,"0-9 years"
"Central and South America","Uruguay",0,"Female",1970,"0-9 years"
"Central and South America","Uruguay",0,"Female",1970,"0-9 years"
"Central and South America","Uruguay",0,"Male",1970,"0-9 years"
"Central and South America","Uruguay",0,"Male",1970,"0-9 years"
"Central and South America","Uruguay",0,"Male",1970,"0-9 years"
"Central and South America","Uruguay",0,"Female",1971,"0-9 years"
"Central and South America","Uruguay",0,"Female",1971,"0-9 years"
"Central and South America","Uruguay",0,"Female",1971,"0-9 years"
"Central and South America","Uruguay",0,"Male",1971,"0-9 years"
"Central and South America","Uruguay",0,"Male",1971,"0-9 years"
"Central and South America","Uruguay",0,"Male",1971,"0-9 years"
"Central and South America","Uruguay",0,"Female",1972,"0-9 years"
"Central and South America","Uruguay",0,"Female",1972,"0-9 years"
"Central and South America","Uruguay",0,"Female",1972,"0-9 years"
"Central and South America","Uruguay",0,"Male",1972,"0-9 years"
"Central and South America","Uruguay",0,"Male",1972,"0-9 years"
"Central and South America","Uruguay",0,"Male",1972,"0-9 years"
"Central and South America","Uruguay",0,"Female",1973,"0-9 years"
"Central and South America","Uruguay",0,"Female",1973,"0-9 years"
"Central and South America","Uruguay",0,"Female",1973,"0-9 years"
"Central and South America","Uruguay",0,"Male",1973,"0-9 years"
"Central and South America","Uruguay",0,"Male",1973,"0-9 years"
"Central and South America","Uruguay",0,"Male",1973,"0-9 years"
"Central and South America","Uruguay",0,"Female",1974,"0-9 years"
"Central and South America","Uruguay",0,"Female",1974,"0-9 years"
"Central and South America","Uruguay",0,"Female",1974,"0-9 years"
"Central and South America","Uruguay",0,"Male",1974,"0-9 years"
"Central and South America","Uruguay",0,"Male",1974,"0-9 years"
"Central and South America","Uruguay",0,"Male",1974,"0-9 years"
"Central and South America","Uruguay",0,"Female",1975,"0-9 years"
"Central and South America","Uruguay",0,"Female",1975,"0-9 years"
"Central and South America","Uruguay",0,"Female",1975,"0-9 years"
"Central and South America","Uruguay",0,"Male",1975,"0-9 years"
"Central and South America","Uruguay",0,"Male",1975,"0-9 years"
"Central and South America","Uruguay",0,"Male",1975,"0-9 years"
"Central and South America","Uruguay",0,"Female",1976,"0-9 years"
"Central and South America","Uruguay",0,"Female",1976,"0-9 years"
"Central and South America","Uruguay",0,"Female",1976,"0-9 years"
"Central and South America","Uruguay",0,"Male",1976,"0-9 years"
"Central and South America","Uruguay",0,"Male",1976,"0-9 years"
"Central and South America","Uruguay",0,"Male",1976,"0-9 years"
"Central and South America","Uruguay",0,"Female",1977,"0-9 years"
"Central and South America","Uruguay",0,"Female",1977,"0-9 years"
"Central and South America","Uruguay",0,"Female",1977,"0-9 years"
"Central and South America","Uruguay",0,"Male",1977,"0-9 years"
"Central and South America","Uruguay",0,"Male",1977,"0-9 years"
"Central and South America","Uruguay",1,"Male",1977,"0-9 years"
"Central and South America","Uruguay",0,"Female",1978,"0-9 years"
"Central and South America","Uruguay",0,"Female",1978,"0-9 years"
"Central and South America","Uruguay",0,"Female",1978,"0-9 years"
"Central and South America","Uruguay",0,"Male",1978,"0-9 years"
"Central and South America","Uruguay",0,"Male",1978,"0-9 years"
"Central and South America","Uruguay",0,"Male",1978,"0-9 years"
"Central and South America","Uruguay",0,"Female",1980,"0-9 years"
"Central and South America","Uruguay",0,"Female",1980,"0-9 years"
"Central and South America","Uruguay",0,"Female",1980,"0-9 years"
"Central and South America","Uruguay",0,"Male",1980,"0-9 years"
"Central and South America","Uruguay",0,"Male",1980,"0-9 years"
"Central and South America","Uruguay",0,"Male",1980,"0-9 years"
"Central and South America","Uruguay",0,"Female",1981,"0-9 years"
"Central and South America","Uruguay",0,"Female",1981,"0-9 years"
"Central and South America","Uruguay",0,"Female",1981,"0-9 years"
"Central and South America","Uruguay",0,"Male",1981,"0-9 years"
"Central and South America","Uruguay",0,"Male",1981,"0-9 years"
"Central and South America","Uruguay",0,"Male",1981,"0-9 years"
"Central and South America","Uruguay",0,"Female",1982,"0-9 years"
"Central and South America","Uruguay",0,"Female",1982,"0-9 years"
"Central and South America","Uruguay",0,"Female",1982,"0-9 years"
"Central and South America","Uruguay",0,"Male",1982,"0-9 years"
"Central and South America","Uruguay",0,"Male",1982,"0-9 years"
"Central and South America","Uruguay",0,"Male",1982,"0-9 years"
"Central and South America","Uruguay",0,"Female",1983,"0-9 years"
"Central and South America","Uruguay",0,"Female",1983,"0-9 years"
"Central and South America","Uruguay",0,"Female",1983,"0-9 years"
"Central and South America","Uruguay",0,"Male",1983,"0-9 years"
"Central and South America","Uruguay",0,"Male",1983,"0-9 years"
"Central and South America","Uruguay",0,"Male",1983,"0-9 years"
"Central and South America","Uruguay",0,"Female",1984,"0-9 years"
"Central and South America","Uruguay",0,"Female",1984,"0-9 years"
"Central and South America","Uruguay",0,"Female",1984,"0-9 years"
"Central and South America","Uruguay",0,"Male",1984,"0-9 years"
"Central and South America","Uruguay",0,"Male",1984,"0-9 years"
"Central and South America","Uruguay",0,"Male",1984,"0-9 years"
"Central and South America","Uruguay",0,"Female",1985,"0-9 years"
"Central and South America","Uruguay",0,"Female",1985,"0-9 years"
"Central and South America","Uruguay",0,"Female",1985,"0-9 years"
"Central and South America","Uruguay",0,"Male",1985,"0-9 years"
"Central and South America","Uruguay",0,"Male",1985,"0-9 years"
"Central and South America","Uruguay",0,"Male",1985,"0-9 years"
"Central and South America","Uruguay",0,"Female",1986,"0-9 years"
"Central and South America","Uruguay",0,"Female",1986,"0-9 years"
"Central and South America","Uruguay",0,"Female",1986,"0-9 years"
"Central and South America","Uruguay",0,"Male",1986,"0-9 years"
"Central and South America","Uruguay",0,"Male",1986,"0-9 years"
"Central and South America","Uruguay",0,"Male",1986,"0-9 years"
"Central and South America","Uruguay",0,"Female",1987,"0-9 years"
"Central and South America","Uruguay",0,"Female",1987,"0-9 years"
"Central and South America","Uruguay",0,"Female",1987,"0-9 years"
"Central and South America","Uruguay",0,"Male",1987,"0-9 years"
"Central and South America","Uruguay",0,"Male",1987,"0-9 years"
"Central and South America","Uruguay",0,"Male",1987,"0-9 years"
